,گروه کالا1,گروه کالا2,support,ضریب اطمینان,lift
293,['200063.0'],"['200057.0', '200053.0']",0.010869565217391304,0.125,11.5
294,"['200057.0', '200053.0']",['200063.0'],0.010869565217391304,1.0,11.5
295,"['200053.0', '200063.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
296,"['200057.0', '200063.0']",['200053.0'],0.010869565217391304,0.5,15.333333333333334
297,['200053.0'],"['200057.0', '200070.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
298,['200057.0'],"['200070.0', '200053.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
299,"['200057.0', '200053.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
300,"['200070.0', '200053.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
301,"['200057.0', '200070.0']",['200053.0'],0.010869565217391304,1.0,30.666666666666668
302,['200053.0'],"['200057.0', '200071.0']",0.010869565217391304,0.3333333333333333,15.333333333333332
303,['200057.0'],"['200053.0', '200071.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
304,['200071.0'],"['200057.0', '200053.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
305,"['200057.0', '200053.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
306,"['200053.0', '200071.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
307,"['200057.0', '200071.0']",['200053.0'],0.010869565217391304,0.5,15.333333333333334
308,['200053.0'],"['200057.0', '200072.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
309,['200057.0'],"['200053.0', '200072.0']",0.010869565217391304,0.3333333333333333,15.333333333333332
310,"['200057.0', '200053.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
311,"['200053.0', '200072.0']",['200057.0'],0.010869565217391304,0.5,15.333333333333334
312,"['200057.0', '200072.0']",['200053.0'],0.010869565217391304,1.0,30.666666666666668
313,['200053.0'],"['200058.0', '200072.0']",0.010869565217391304,0.3333333333333333,10.222222222222221
314,['200058.0'],"['200053.0', '200072.0']",0.010869565217391304,0.1111111111111111,5.111111111111111
315,"['200053.0', '200058.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
316,"['200053.0', '200072.0']",['200058.0'],0.010869565217391304,0.5,5.111111111111111
317,"['200058.0', '200072.0']",['200053.0'],0.010869565217391304,0.3333333333333333,10.222222222222221
318,['200053.0'],"['200070.0', '200063.0']",0.010869565217391304,0.3333333333333333,10.222222222222221
319,['200063.0'],"['200070.0', '200053.0']",0.010869565217391304,0.125,11.5
320,"['200053.0', '200063.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
321,"['200070.0', '200053.0']",['200063.0'],0.010869565217391304,1.0,11.5
322,"['200070.0', '200063.0']",['200053.0'],0.010869565217391304,0.3333333333333333,10.222222222222221
323,['200053.0'],"['200063.0', '200071.0']",0.010869565217391304,0.3333333333333333,7.666666666666666
324,['200063.0'],"['200053.0', '200071.0']",0.010869565217391304,0.125,11.5
325,['200071.0'],"['200053.0', '200063.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
326,"['200053.0', '200063.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
327,"['200053.0', '200071.0']",['200063.0'],0.010869565217391304,1.0,11.5
328,"['200063.0', '200071.0']",['200053.0'],0.010869565217391304,0.25,7.666666666666667
329,['200053.0'],"['200072.0', '200063.0']",0.010869565217391304,0.3333333333333333,10.222222222222221
330,['200063.0'],"['200053.0', '200072.0']",0.010869565217391304,0.125,5.75
331,"['200053.0', '200063.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
332,"['200053.0', '200072.0']",['200063.0'],0.010869565217391304,0.5,5.75
333,"['200072.0', '200063.0']",['200053.0'],0.010869565217391304,0.3333333333333333,10.222222222222221
334,['200053.0'],"['200070.0', '200071.0']",0.010869565217391304,0.3333333333333333,6.133333333333333
335,['200071.0'],"['200070.0', '200053.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
336,"['200070.0', '200053.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
337,"['200053.0', '200071.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
338,"['200070.0', '200071.0']",['200053.0'],0.010869565217391304,0.2,6.133333333333334
339,['200053.0'],"['200070.0', '200072.0']",0.010869565217391304,0.3333333333333333,2.7878787878787876
340,"['200070.0', '200053.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
341,"['200053.0', '200072.0']",['200070.0'],0.010869565217391304,0.5,2.1904761904761907
342,"['200070.0', '200072.0']",['200053.0'],0.010869565217391304,0.0909090909090909,2.7878787878787876
343,['200053.0'],"['200072.0', '200071.0']",0.010869565217391304,0.3333333333333333,7.666666666666666
344,['200071.0'],"['200053.0', '200072.0']",0.010869565217391304,0.0909090909090909,4.181818181818182
345,"['200053.0', '200071.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
346,"['200053.0', '200072.0']",['200071.0'],0.010869565217391304,0.5,4.181818181818182
347,"['200072.0', '200071.0']",['200053.0'],0.010869565217391304,0.25,7.666666666666667
348,['200055.0'],"['200070.0', '200072.0']",0.010869565217391304,0.3333333333333333,2.7878787878787876
349,"['200070.0', '200055.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
350,"['200055.0', '200072.0']",['200070.0'],0.010869565217391304,0.5,2.1904761904761907
351,"['200070.0', '200072.0']",['200055.0'],0.010869565217391304,0.0909090909090909,2.7878787878787876
352,['200057.0'],"['200070.0', '200063.0']",0.010869565217391304,0.3333333333333333,10.222222222222221
353,['200063.0'],"['200057.0', '200070.0']",0.010869565217391304,0.125,11.5
354,"['200057.0', '200063.0']",['200070.0'],0.010869565217391304,0.5,2.1904761904761907
355,"['200057.0', '200070.0']",['200063.0'],0.010869565217391304,1.0,11.5
356,"['200070.0', '200063.0']",['200057.0'],0.010869565217391304,0.3333333333333333,10.222222222222221
357,['200057.0'],"['200063.0', '200071.0']",0.021739130434782608,0.6666666666666666,15.333333333333332
358,['200063.0'],"['200057.0', '200071.0']",0.021739130434782608,0.25,11.5
359,['200071.0'],"['200057.0', '200063.0']",0.021739130434782608,0.1818181818181818,8.363636363636363
360,"['200057.0', '200063.0']",['200071.0'],0.021739130434782608,1.0,8.363636363636363
